  row	col	aot
   2.7000000000000000e+01   1.0000000000000000e+01   1.0350000113248825e-01
   2.7000000000000000e+01   1.1000000000000000e+01   1.0222999751567841e-01
   2.8000000000000000e+01   7.0000000000000000e+00   1.1497999727725983e-01
   2.8000000000000000e+01   8.0000000000000000e+00   1.0818000137805939e-01
   2.8000000000000000e+01   9.0000000000000000e+00   1.1129999905824661e-01
   2.8000000000000000e+01   1.0000000000000000e+01   1.0712999850511551e-01
   2.8000000000000000e+01   1.1000000000000000e+01   9.8970003426074982e-02
   2.9000000000000000e+01   7.0000000000000000e+00   1.1084999889135361e-01
   2.9000000000000000e+01   8.0000000000000000e+00   1.0265000164508820e-01
   2.9000000000000000e+01   9.0000000000000000e+00   9.8750002682209015e-02
   2.9000000000000000e+01   1.0000000000000000e+01   1.0712999850511551e-01
   2.9000000000000000e+01   1.1000000000000000e+01   9.8770000040531158e-02
   2.9000000000000000e+01   1.2000000000000000e+01   1.1305999755859375e-01
   3.0000000000000000e+01   2.0000000000000000e+00   1.1580000072717667e-01
   3.0000000000000000e+01   4.0000000000000000e+00   1.1789999902248383e-01
   3.0000000000000000e+01   5.0000000000000000e+00   9.5310002565383911e-02
   3.0000000000000000e+01   6.0000000000000000e+00   1.1653999984264374e-01
   3.0000000000000000e+01   7.0000000000000000e+00   1.1084999889135361e-01
   3.0000000000000000e+01   8.0000000000000000e+00   1.0253000259399414e-01
   3.0000000000000000e+01   9.0000000000000000e+00   9.5320001244544983e-02
   3.0000000000000000e+01   1.0000000000000000e+01   9.7850002348423004e-02
   3.0000000000000000e+01   1.1000000000000000e+01   9.0360000729560852e-02
   3.0000000000000000e+01   1.2000000000000000e+01   1.0031999647617340e-01
   3.0000000000000000e+01   1.3000000000000000e+01   1.0582999885082245e-01
   3.1000000000000000e+01   3.0000000000000000e+00   1.2665000557899475e-01
   3.1000000000000000e+01   4.0000000000000000e+00   1.1789999902248383e-01
   3.1000000000000000e+01   5.0000000000000000e+00   1.0390999913215637e-01
   3.1000000000000000e+01   6.0000000000000000e+00   1.0644000023603439e-01
   3.1000000000000000e+01   7.0000000000000000e+00   9.8459996283054352e-02
   3.1000000000000000e+01   8.0000000000000000e+00   9.5380000770092010e-02
   3.1000000000000000e+01   9.0000000000000000e+00   9.5569998025894165e-02
   3.1000000000000000e+01   1.0000000000000000e+01   9.0109996497631073e-02
   3.1000000000000000e+01   1.1000000000000000e+01   9.0360000729560852e-02
   3.1000000000000000e+01   1.2000000000000000e+01   9.0669997036457062e-02
   3.1000000000000000e+01   1.3000000000000000e+01   9.6270002424716949e-02
   3.1000000000000000e+01   1.4000000000000000e+01   9.9739998579025269e-02
   3.2000000000000000e+01   3.0000000000000000e+00   1.1303000152111053e-01
   3.2000000000000000e+01   4.0000000000000000e+00   1.0649000108242035e-01
   3.2000000000000000e+01   6.0000000000000000e+00   9.2280000448226929e-02
   3.2000000000000000e+01   7.0000000000000000e+00   8.8619999587535858e-02
   3.2000000000000000e+01   8.0000000000000000e+00   9.5380000770092010e-02
   3.2000000000000000e+01   9.0000000000000000e+00   9.4010002911090851e-02
   3.2000000000000000e+01   1.0000000000000000e+01   9.1020002961158752e-02
   3.2000000000000000e+01   1.1000000000000000e+01   9.2370003461837769e-02
   3.2000000000000000e+01   1.2000000000000000e+01   9.0970002114772797e-02
   3.2000000000000000e+01   1.3000000000000000e+01   8.8189996778964996e-02
   3.2000000000000000e+01   1.4000000000000000e+01   8.9369997382164001e-02
   3.2000000000000000e+01   1.6000000000000000e+01   1.2635999917984009e-01
   3.3000000000000000e+01   6.0000000000000000e+00   9.3850001692771912e-02
   3.3000000000000000e+01   7.0000000000000000e+00   9.2500001192092896e-02
   3.3000000000000000e+01   8.0000000000000000e+00   8.9840002357959747e-02
   3.3000000000000000e+01   9.0000000000000000e+00   9.6979998052120209e-02
   3.3000000000000000e+01   1.0000000000000000e+01   9.9699996411800385e-02
   3.3000000000000000e+01   1.1000000000000000e+01   1.0136999934911728e-01
   3.3000000000000000e+01   1.2000000000000000e+01   9.0970002114772797e-02
   3.3000000000000000e+01   1.3000000000000000e+01   9.2030003666877747e-02
   3.3000000000000000e+01   1.4000000000000000e+01   9.0659998357295990e-02
   3.3000000000000000e+01   1.5000000000000000e+01   9.5729999244213104e-02
   3.3000000000000000e+01   1.6000000000000000e+01   1.0532999783754349e-01
   3.4000000000000000e+01   7.0000000000000000e+00   9.2399999499320984e-02
   3.4000000000000000e+01   8.0000000000000000e+00   9.3469999730587006e-02
   3.4000000000000000e+01   9.0000000000000000e+00   9.6979998052120209e-02
   3.4000000000000000e+01   1.0000000000000000e+01   8.6520001292228699e-02
   3.4000000000000000e+01   1.1000000000000000e+01   9.0680003166198730e-02
   3.4000000000000000e+01   1.2000000000000000e+01   9.4219997525215149e-02
   3.4000000000000000e+01   1.3000000000000000e+01   1.0371000319719315e-01
   3.4000000000000000e+01   1.4000000000000000e+01   1.0578999668359756e-01
   3.4000000000000000e+01   1.5000000000000000e+01   1.0990999639034271e-01
   3.4000000000000000e+01   1.6000000000000000e+01   1.0532999783754349e-01
   3.4000000000000000e+01   1.7000000000000000e+01   1.0626000165939331e-01
   3.4000000000000000e+01   1.8000000000000000e+01   1.1085999757051468e-01
   3.4000000000000000e+01   2.0000000000000000e+01   1.0881000012159348e-01
   3.4000000000000000e+01   2.4000000000000000e+01   8.9850001037120819e-02
   3.4000000000000000e+01   2.5000000000000000e+01   9.4750002026557922e-02
   3.5000000000000000e+01   1.2000000000000000e+01   9.6869997680187225e-02
   3.5000000000000000e+01   1.3000000000000000e+01   1.0371000319719315e-01
   3.5000000000000000e+01   1.4000000000000000e+01   8.3389997482299805e-02
   3.5000000000000000e+01   1.5000000000000000e+01   1.0431999713182449e-01
   3.5000000000000000e+01   1.6000000000000000e+01   1.0174000263214111e-01
   3.5000000000000000e+01   1.7000000000000000e+01   1.0085999965667725e-01
   3.5000000000000000e+01   1.8000000000000000e+01   1.0233999788761139e-01
   3.5000000000000000e+01   1.9000000000000000e+01   1.0140000283718109e-01
   3.5000000000000000e+01   2.0000000000000000e+01   1.0881000012159348e-01
   3.5000000000000000e+01   2.1000000000000000e+01   1.0533999651670456e-01
   3.5000000000000000e+01   2.2000000000000000e+01   1.0160999745130539e-01
   3.5000000000000000e+01   2.3000000000000000e+01   9.5949999988079071e-02
   3.5000000000000000e+01   2.4000000000000000e+01   8.8780000805854797e-02
   3.5000000000000000e+01   2.5000000000000000e+01   8.9189998805522919e-02
   3.5000000000000000e+01   2.6000000000000000e+01   9.3620002269744873e-02
   3.5000000000000000e+01   2.8000000000000000e+01   1.0486999899148941e-01
   3.6000000000000000e+01   1.5000000000000000e+01   1.0707999765872955e-01
   3.6000000000000000e+01   1.6000000000000000e+01   1.0368999838829041e-01
